title,imdb_id,file,dir,synopsis,year,link,clean_title
Ink,3204734,2476_Allies,com,"Father and daughter are thrust into a fantastical dream-world battle between forces of good and evil in this allegorical tale of love, loss, and the search for redemption.",2014.0,/Allies-Julian-Ovenden/dp/B00TPJEISW/ref=sr_1_3805?qid=1689193293&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-3805,Ink
"Burt Lancaster, Audrey Hepburn, The Unforgiven - In Technicolor & Uncut!",0054428,2553_Audrey_Hepburn_The_Unforgiven__In_Technicolor__Uncut,before2010,"This classic film from one of the greatest directors of the 20th century (John Huston), boasts an incredible cast. Well-shot and well-acted, with a solid story to boot,...The neighbors of a frontier family turn on them when it is suspected that their adopted daughter was stolen from the local Kiowa tribe. There is plenty of action and suspense with Indian fights, dramatic events, & more.",1960.0,/Burt-Lancaster-Audrey-Hepburn-Unforgiven/dp/B09JX41RR6/ref=sr_1_573?qid=1691154778&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-573,Burt_Lancaster_Audrey_Hepburn_The_Unforgiven__In_Technicolor__Uncut
"Eartha Kitt & Sammy Davis Jr. in ""Anna Lucasta"" - All Black Cast Classic!",0051362,70__Sammy_Davis_Jr_in_Anna_Lucasta__All_Black_Cast_Classic,before2010,"When wild child Anna Lucasta (Eartha Kitt), is banished from the family home by her self-righteous father, she falls into prostitution and into the arms of streetwise sailor Danny Johnson (Sammy Davis, Jr.). But after she shocks them all by finally finding her true love with a young suitor, her unforgiving father sets a vengeful plan in motion to remind his daughter of her sordid past.",1958.0,/Eartha-Kitt-Sammy-Davis-Lucasta/dp/B09DK521CN/ref=sr_1_1623?qid=1691154991&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-1623,Eartha_Kitt__Sammy_Davis_Jr_in_Anna_Lucasta__All_Black_Cast_Classic
Yankles,12779696,5016_Akillas_Escape,com,An obscure orthodox yeshiva baseball team desperate for a coach gives a down-and-out ex-baseball player his second chance.,2021.0,/Akillas-Escape-Saul-Williams/dp/B096X37X58/ref=sr_1_6089?qid=1689193555&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-6089,Yankles
Ong Bak 3,0968264,882_The_Conspirator,com,"Martial arts legend Tony Jaa returns with more insane kicks & mind-blowing stunts in the finale to the ONG BAK trilogy, facing his ultimate challenge: a deadly showdown with a fierce supernatural warrior.",2011.0,/Conspirator-James-McAvoy/dp/B008Y78M60/ref=sr_1_2371?qid=1689193112&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2371,Ong_Bak_3
Turma da MÃ´nica - LiÃ§Ãµes,11674072,5134_Turma_da_Monica__Licoes,com,"Monica, Jimmy Five, Maggy and Smudge decide to skip school, but they pretty quickly find out thereâ€™ll be some stiff consequences to face. In this new adventure, the gang learns the true meaning of friendship.",2022.0,/Monica-Friends-Lessons-Giulia-Benite/dp/B09HY4BW2P/ref=sr_1_6223?qid=1689193569&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-6223,Turma_da_MAnica__LiASSAues
Sweet Mahogany 2: Pure Indulgence,13270424,525_Brian_and_Charles,com,"Mahogany Andrews appears to be in the fight for her life as she is battling Tony Hawkins for custody of their daughter, Rachel. However, another fight is beginning to ensue as Cassie Pearson is doing whatever it takes to keep her entire family, which includes Mahogany, together and Khalil Pearson is battling internally to figure out what he truly wants and needs out of life and his marriage.",2022.0,/Brian-Charles-David-Earl/dp/B0B5MQ44S2/ref=sr_1_2046?qid=1689193062&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2046,Sweet_Mahogany_2_Pure_Indulgence
Not Since You,2351310,5665_FLU,com,A romantic drama about a tight-knit group of college friends who graduated from NYU and reunite years later for a weekend wedding in Georgia.,2013.0,/FLU-Hyuk-Jang/dp/B01I71DIG6/ref=sr_1_930?qid=1689192927&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-930,Not_Since_You
"Love, Kennedy",6264938,5668_Kesari,com,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true.",2019.0,/Kesari-Akshay-Kumar/dp/B08KWMW6K7/ref=sr_1_933?qid=1689192927&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-933,Love_Kennedy
Solar Impact,6464360,5674_The_Hollow_Child,com,"When solar debris crashes down to Earth unleashing widespread devastation, the resulting solar radiation causes genetic mutations to all who come into contact. As the radioactivity spreads rapidly, and with governments and military around the globe on the brink of collapse, a group of friends band together to flee the mayhem, desperate and with the hope of finding refuge.",2018.0,/Hollow-Child-Jessica-McLeod/dp/B07CVVMW9B/ref=sr_1_939?qid=1689192927&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-939,Solar_Impact
Goon,5328602,567_Hell_Trip,com,"When Doug gets into a fist fight with a hockey thug an onlooking coach recruits him despite of his lack of any hockey playing ability. Written by Jay Baruchel & Evan Goldberg, co-writer of Superbad & Pineapple Express.",2021.0,/Hell-Trip-Clayton-Boyd/dp/B08XGH5RVC/ref=sr_1_2072?qid=1689193065&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2072,Goon
Ambulance,4364194,5317_The_Peanut_Butter_Falcon,com,"In this action thriller directed by Michael Bay, desperate brothers hijack an ambulance after their heist goes awry, spiraling into the most insane escape LA has ever seen.",2019.0,/Peanut-Butter-Falcon-Shia-LaBeouf/dp/B07W4KC3Y5/ref=sr_1_54?qid=1689192828&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-54,Ambulance
George A. Romero's Survival of the Dead,7190460,5355_Thuparivaalan,com,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state. The master George A. Romero returns with a new entry in the greatest horror series of all time. Combining black humor with his trademark zombie gore and apocalyptic vision, it's a must see for horror fans.",2017.0,/Thuparivaalan-Mysskin/dp/B076XDP8LH/ref=sr_1_6396?qid=1689193589&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-6396,George_A_Romeros_Survival_of_the_Dead
Thuparivaalan,14071882,5356_Dog_Years,com,"Detective Kaniyan Poonkundran who craves for an interesting case to solve, faces a major challenge while solving the mystery of a murdered dog which leads him to capture a powerful rival who proves to be a fitting opponent for him.",2021.0,/Dog-Years-Aurora-Giovinazzo/dp/B09M7S8LJM/ref=sr_1_6397?qid=1689193589&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-6397,Thuparivaalan
Peace by Chocolate,7671064,5365_Brittany_Runs_A_Marathon,com,"After the bombing of his father's chocolate factory, a charming young Syrian refugee struggles to settle into his new Canadian small-town life, caught between following his dream to become a doctor and preserving his family's chocolate-making legacy. Based on the incredible internationally recognized true story.",2019.0,/Brittany-Runs-Marathon-Jillian-Bell/dp/B0875TCNC4/ref=sr_1_646?qid=1689192894&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-646,Peace_by_Chocolate
"Rebel: Loreta Velazquez, Secret Soldier of the American Civil War",3511596,5393_Close_Range,com,"At the outset of the American Civil War, Loreta Janeta Velazquez, an educated Cuban-born teenager, fought as an officer in the battle of First Bull Run, was wounded at Shiloh, and served as a secret agent for the Confederacy. By 1863, Velazquez was spying for the Union. She chafed against the gender and race restrictions of her time, and her 1876 memoir, A Woman in Battle, caused a sensation.",2015.0,/Close-Range-Scott-Adkins/dp/B088YKPNGQ/ref=sr_1_674?qid=1689192898&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-674,Rebel_Loreta_Velazquez_Secret_Soldier_of_the_American_Civil_War
Sweetwater,0093870,5502_Robocop,com,"In the late 1800s, a fanatical religious leader, a renegade Sheriff, and a former prostitute collide in a blood triangle on the rugged plains of the New Mexico Territory.",1987.0,/Robocop-4K-UHD-Paul-Verhoeven/dp/B08WK1GT1V/ref=sr_1_783?qid=1689192909&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-783,Sweetwater
Centurion,0054047,5548_The_Magnificent_Seven,com,Roman soldiers are trapped behind enemy lines after a brutal ambush decimates their legion. They must fight their way to freedom while hunted by a relentless warrior princess out for Roman blood.,1960.0,/Magnificent-Seven-Yul-Brynner/dp/B00GD55C0O/ref=sr_1_813?qid=1689192913&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-813,Centurion
